"1. Organisation
Name","2. Purpose 
of Spend","3. Directorate /  
Service 
Responsible","4. Start
Date","5. End
Date",6.Amount,"7. Supplier /
Beneficiary
Name","8. Registered
Number"
Rochdale Borough Council,GRANT PAYMENT - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,747.00",VINTAGE WORX CDT,UNKNOWN
Rochdale Borough Council,Grant - Bangladesh Association And Community Project,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£7,500.00",BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,1138142
Rochdale Borough Council,GRANT PAYMENT - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£5,602.00",ANGIES ANGELS COMMUNITY GROUP,UNKNOWN
Rochdale Borough Council,Grant - Deeplish Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£7,500.00",DEEPLISH COMMUNITY CENTRE,1090588
Rochdale Borough Council,Grant - Back O`th Moss Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£7,500.00",BACK OTH MOSS COMMUNITY CENTRE,1171802
Rochdale Borough Council,Grant - Turfhill Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,500.00",TURF HILL INITIATIVE CENTRE,UNKNOWN
Rochdale Borough Council,Grant - Demesne Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£6,000.00",DEMESNE COMMUNITY ASSOCIATION,1061422
Rochdale Borough Council,Grant - Bangladesh Association And Community Project,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£7,500.00",BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,1138142
Rochdale Borough Council,Grant - Turfhill Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,500.00",TURF HILL INITIATIVE CENTRE,UNKNOWN
Rochdale Borough Council,Grant - Back O`th Moss Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£7,500.00",BACK OTH MOSS COMMUNITY CENTRE,1171802
Rochdale Borough Council,Grant - Deeplish Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£7,500.00",DEEPLISH COMMUNITY CENTRE,1090588
Rochdale Borough Council,GRANT PAYMENT FOR FRIENDS OF TRUFFET PARK - COMMUNITY GROUP SUPPORT FUND,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£2,064.00",BOWLEE COMMUNITY ASSOCIATION,1195328
Rochdale Borough Council,Grant - Demesne Community Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£6,000.00",DEMESNE COMMUNITY ASSOCIATION,1061422
Rochdale Borough Council,Grant - Cleworth Rd Centre,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£5,800.00",CLEWORTH CHILDRENS ACTIVITY CENTRE,UNKNOWN
Rochdale Borough Council,Voluntary and Community Grant Funding For Rochdale Womens Welfare Association ISVA,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£38,000.00",ROCHDALE WOMENS WELFARE ASSOCIATION,UNKNOWN
Rochdale Borough Council,RSCP Grant Funding for 12 months Petrus Outreach Support Worker for 2024/25,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£40,066.00",PETRUS COMMUNITY,510904
Rochdale Borough Council,Rochdale Safer Communities Partnership grant funding contribution to Foundation 92 for dedicated outreach support for 2023/24,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£30,000.00",FOUNDATION 92,1180246
Rochdale Borough Council,"Petrus costs £112,800",NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£112,800.00",PETRUS,1523836
Rochdale Borough Council,Q2 GRANT FUNDING AS PER FUNDING AGREEMENT 01/07/23 - 30/09/23,NEIGHBOURHOODS AND ENVIRONMENT,01/07/2023,30/09/2023,"£45,686.46",BRENTWOOD,1004389
Rochdale Borough Council,Q1 Grant Funding as per funding agreement. 01.04.23 - 30.06.23,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,30/06/2023,"£45,686.46",BRENTWOOD,1004389
Rochdale Borough Council,Transfer ABEN costs,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£17,600.00",,2721623
Rochdale Borough Council,INNOVATION FUND - PETRUS COMMUNITY PROJECT,NEIGHBOURHOODS AND ENVIRONMENT,01/04/2023,31/03/2024,"£23,604.00",PETRUS COMMUNITY,1523836
