Rok(y) podpory,Název žadatele,Název projektu,Oblast podpory,Poskytovatel dotace,Přidělená částka [Kč],Název výzvy;;;;
"2022,""Sdružení sportovních klubů Vítkovice, z.s."",Čokoládová tretra 2022,Oblast sportovních akcí,Magistrát města Ostravy,600000,Program na podporu významných sportovních akcí na území SMO v roce 2022";;;;
"2022,""Sdružení sportovních klubů Vítkovice, z.s."",Český pohár v cyklistice - MJV,Oblast sportovních akcí,Magistrát města Ostravy,200000,Program na podporu významných sportovních akcí na území SMO v roce 2022";;;;
"2022,""Sdružení sportovních klubů Vítkovice, z.s."",Podpora pro vrcholové atlety SSKV,Oblast významných sportovních klubů,Magistrát města Ostravy,3000000,Program na podporu vrcholového sportu z rozpočtu SMO na rok 2022";;;;
2022,LK Baník Ostrava z.s.,Festival dětského závodního lyžování 2022,Oblast sportovních akcí,Magistrát města Ostravy,0,Program na podporu významných sportovních akcí na území SMO v roce 2022;;;;
2022,LK Baník Ostrava z.s.,Rozvoj výkonnostního lyžování v Ostravě od 4 do 21 let. Systematická celoroční sportovní činnost dětí a mládeže,Oblast tělovýchovy a sportu,Magistrát města Ostravy,150000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022;;;;
"2022,""Mateřská škola Ostrava, Lechowiczova 8, příspěvková organizace"",""Hrajeme si, stavíme a při tom se učíme"",Oblast školství,Magistrát města Ostravy,0,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2022";;;;
"2022,""Základní škola Slezská Ostrava, Škrobálkova 51, příspěvková organizace"",Všeználek I.,Oblast školství,Magistrát města Ostravy,40000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2022";;;;
"2022,""Základní škola a mateřská škola Ostrava-Dubina, V.Košaře 6, příspěvková organizace"",""Šikovné ručičky, dělají hezké věcičky"",Oblast školství,Magistrát města Ostravy,0,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2022";;;;
2022,Diakonie ČCE - středisko v Ostravě,Zařízení pro děti vyžadující okamžitou pomoc Náruč,Oblast sociální péče,Magistrát města Ostravy,6000000,Program na poskytování peněžních prostředků z rozpočtu SMO na rok 2022 včetně Podmínek pro jednotlivé oblasti;;;;
"2022,""Mateřská škola, Ostrava-Poruba, V.Makovského 4429, příspěvková organizace"",Objevujeme řemesla,Oblast školství,Magistrát města Ostravy,50000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2022";;;;
"2022,""TK SC OSTRAVA, z.s."",Mistrovství ČR mužů a žen 2022,Oblast sportovních akcí,Magistrát města Ostravy,150000,Program na podporu významných sportovních akcí na území SMO v roce 2022";;;;
"2022,""Tenisový klub Talent, zapsaný spolek"",Celoroční činnost - pravidelné oddílové tréninky dětí a mládeže,Oblast tělovýchovy a sportu,Magistrát města Ostravy,60000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022";;;;
2022,CDU SPORT - VOLNÝ ČAS z.s.,Podpora celoroční sportovní činnosti kroužku CDU SPORT pro děti a mládež 2022,Oblast tělovýchovy a sportu,Magistrát města Ostravy,74000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022;;;;
"2022,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",""Krestovský triangl III. - rozvoj technické, přírodovědné a funkční gramotnosti"",Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,500000,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2022";;;;
"2022,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",Dvakrát měř a jednou řež,Oblast školství,Magistrát města Ostravy,50000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2022";;;;
"2022,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",""MŠ Triangl III. - rozvoj technické, přírodovědné a funkční gramotnosti"",Oblast vzdělávání a talentmanagementu,Magistrát města Ostravy,300000,Program na podporu vzdělávání a talentmanagementu na území statutárního města Ostravy na rok 2022";;;;
"2022,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",Kniha přítel člověka,Oblast školství,Magistrát města Ostravy,70000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2022";;;;
"2022,""Základní škola a mateřská škola Ostrava-Hrabůvka, Krestova 36A, příspěvková organizace"",Posilujeme imunitu předmětů ohrožených pandemií,Oblast školství,Magistrát města Ostravy,70000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2022";;;;
"2022,""Mateřská škola Ostrava, Varenská 2a, příspěvková organizace"",(NE)obyčejné dny v MŠ Varenská 2022,Oblast školství,Magistrát města Ostravy,100000,Program na podporu rozvoje kvality školství z rozpočtu statutárního města Ostravy na rok 2022";;;;
2021,Mistry s Mistry z.s.,Mistry s Mistry 2021 - závod v Ostravě,Oblast sportu,Magistrát města Ostravy,30000,Mimořádná dotace;;;;
2022,Jezdecký klub Baník Ostrava,58. ročník Velké ceny Ostravy,Oblast sportovních akcí,Magistrát města Ostravy,0,Program na podporu významných sportovních akcí na území SMO v roce 2022;;;;
"2022,""B.O.CHANCE OSTRAVA SPORTCLUB, z.s."",""Pravidelná činnost s mládeží  včetně účasti na turnajích oddílu badmintonu, činnost  Sportovního centra mládeže (SCM) a Sportovního střediska (SpS) při  B.O. CHANCE Ostrava"",Oblast tělovýchovy a sportu,Magistrát města Ostravy,513000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022";;;;
2022,Jezdecký klub Baník Ostrava,Sportovní činnost dětí a mládeže,Oblast tělovýchovy a sportu,Magistrát města Ostravy,74000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022;;;;
"2022,""B.O.CHANCE OSTRAVA SPORTCLUB, z.s."",Pořádání série otevřených turnajů pro mládežnické registrované i neregistrované hráče na území města Ostravy,Oblast sportovních akcí,Magistrát města Ostravy,0,Program na podporu významných sportovních akcí na území SMO v roce 2022";;;;
"2022,""Klub plaveckých sportů Ostrava, z.s."",29. ročník Velké ceny Ostravy v plavání,Oblast sportovních akcí,Magistrát města Ostravy,250000,Program na podporu významných sportovních akcí na území SMO v roce 2022";;;;
"2022,""Klub plaveckých sportů Ostrava, z.s."",Příprava plavců KPSO na vrcholový sport,Oblast významných sportovních klubů,Magistrát města Ostravy,1000000,Program na podporu vrcholového sportu z rozpočtu SMO na rok 2022";;;;
"2022,""Klub plaveckých sportů Ostrava, z.s."",Celoroční příprava dětí a mládeže v KPS Ostrava v roce 2022,Oblast tělovýchovy a sportu,Magistrát města Ostravy,0,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022";;;;
2022,BK START OSTRAVA z.s.,Celoroční činnnost basketbalistek BK START OSTRAVA,Oblast tělovýchovy a sportu,Magistrát města Ostravy,82000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022;;;;
2022,Český svaz Wa-te jitsu do a bojových umění z.s.,Podpora pravidelné sportovní činnosti dětí a mládeže a reprezentantů ČR Českého svazu Watejitsu,Oblast tělovýchovy a sportu,Magistrát města Ostravy,70000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022;;;;
2022,Tělocvičná jednota Sokol Radvanice - Bartovice,Podpora oddílů florbalu a stolního tenisu - žáci a dorost,Oblast tělovýchovy a sportu,Magistrát města Ostravy,85000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022;;;;
2022,Geometry Prague s.r.o.,RunTour Ostrava 2022,Oblast sportovních akcí,Magistrát města Ostravy,0,Program na podporu významných sportovních akcí na území SMO v roce 2022;;;;
"2022,""Janáčkova filharmonie Ostrava, příspěvková organizace"",Janáčkova filharmonie v Polsku,Oblast kultura,Magistrát města Ostravy,260000,Mimořádný příspěvek";;;;
"2022,""Dům kultury města Ostravy, a.s."",Odpich – multižánrový festival začínajících kapel,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""AVE ART Ostrava, soukromá Střední umělecká škola a Základní umělecká škola, s.r.o."",Sympozium prostorových forem Ostrava 2022 8. ročník,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""MOVE Ostrava, z.s."",MOVE Budování scény současného tancev Ostravě,Oblast kultura,Magistrát města Ostravy,260000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Janáčkova filharmonie Ostrava, příspěvková organizace"",JFO s Kateřinou Kněžíkovou v Německu s Švýcarsku,Oblast kultura,Magistrát města Ostravy,130000,Mimořádný příspěvek";;;;
"2022,""Rainbow Run, z.s."",Rainbow Run,Oblast sportovních akcí,Magistrát města Ostravy,70000,Program na podporu významných sportovních akcí na území SMO v roce 2022";;;;
"2022,""Stará aréna, spolek"",Stará aréna 2022,Oblast kultura,Magistrát města Ostravy,130000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Provoz z.s.,Literární festival Inverze 2022,Oblast kultura,Magistrát města Ostravy,260000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,  Luděk Beneš  ,Country víkend v Zátiší,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Multižánrové centrum SKY z.s.,Scéna pod širým nebem,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Soubor lidových písní a tanců Hlubina, z.s."",9. Havířský bál,Oblast kultura,Magistrát města Ostravy,26000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,radOSTpRAVA 	z.s.,EXPERIS - krajské postupové přehlídky experimentujícího a studentského divadla,Oblast kultura,Magistrát města Ostravy,50000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Armáda spásy v České republice, z. s."",30 let Armády spásy v Ostravě,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Ozvučovací agentura SERENDIPITY Prague s.r.o.,III. ročník oslavy Mezinárodního dne Romů v Ostravě 2022,Oblast kultura,Magistrát města Ostravy,65000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Statutární město Ostrava, městský obvod Poruba"",Výstavní rok 2022 v Galerii Dukla,Oblast kultura,Magistrát města Ostravy,195000,Mimořádný transfer";;;;
"2022,""Sdružení výtvarných umělců a teoretiků Ostrava, z.s."",MEZI PÓLY,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Cirkus trochu jinak, z. s."",""Celoroční umělecká, kulturní a produkční činnost Cirkus trochu jinak, z.s. (2022)"",Oblast kultura,Magistrát města Ostravy,520000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Lidová konzervatoř a Múzická škola, příspěvková organizace"",Krajská postupová přehlídka dětských skupin scénického tance Ostrava 2022,Oblast kultura,Magistrát města Ostravy,65000,Mimořádný příspěvek";;;;
"2022,""Centrum kultury a vzdělávání Moravská Ostrava, příspěvková organizace"",Rozmarné slavnosti řeky Ostravice,Oblast kultura,Magistrát města Ostravy,195000,Mimořádný příspěvek";;;;
2022,Dock Ostrava s.r.o.,Zkvalitnění organizace multižánrového programu klubu Dock,Oblast kultura,Magistrát města Ostravy,195000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Centrum kultury a vzdělávání Moravská Ostrava, příspěvková organizace"",Léto v Komenského sadech,Oblast kultura,Magistrát města Ostravy,0,Mimořádný příspěvek";;;;
"2022,""Statutární město Ostrava, městský obvod Poruba"",Letní umělecká scéna v Porubě 2022,Oblast kultura,Magistrát města Ostravy,130000,Mimořádný transfer";;;;
"2022,Nakladatelství Paseka s.r.o.,""111 míst v Ostravě, která musíte vidět"",Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Centrum kultury a vzdělávání Moravská Ostrava, příspěvková organizace"",Der Kulturpunkt - česko-německé kultuní dny v Ostravě,Oblast kultura,Magistrát města Ostravy,125000,Mimořádný příspěvek";;;;
"2022,""Centrum kultury a vzdělávání Moravská Ostrava, příspěvková organizace"",Festival Ostrava Jazz Nights,Oblast kultura,Magistrát města Ostravy,325000,Mimořádný příspěvek";;;;
"2022,""Národní divadlo moravskoslezské, příspěvková organizace"",OST-RA-VAR 2022 - 24. ročník Festivalu ostravských činoherních divadel,Oblast kultura,Magistrát města Ostravy,260000,Mimořádný příspěvek";;;;
"2022,""""""spolek Fiducia"""""",Literární Ostrava 1918-2018 - publikace (pracovní název),Oblast kultura,Magistrát města Ostravy,130000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Bílá holubice z.s.,Tancem navzdory všemu,Oblast kultura,Magistrát města Ostravy,65000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,SOBIC - Smart & Open Base for Innovations in European Cities and Regions,Čestmír Suška 2022: Věci venku. Udržitelné umění pro budoucnost/Sustainable Art for the Future.,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,Charita Ostrava,""Benefiční koncert """"Sešli se, aby pomohli..."""" na podporu Charitního domu sv. Václava"",Oblast kultura,Magistrát města Ostravy,65000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,FBC OSTRAVA z.s.,Podpora nejvyšších soutěží mužů a žen ve florbalovém klubu FBC Ostrava pro rok 2022,Oblast významných sportovních klubů,Magistrát města Ostravy,3500000,Program na podporu vrcholového sportu z rozpočtu SMO na rok 2022;;;;
2022,Slezská univerzita v Opavě,PodChod,Oblast kultura,Magistrát města Ostravy,65000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,QQ studio Ostrava s.r.o.,Zakletá princezna 2,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""POST BELLUM, z. ú."",""""""Odsunutá paměť""""(příběhy 12 pamětníků z Česka, Polska, Německa, Maďarska,...) s důrazem na příběh rodáka z Ostravy, jenž byl jako dítě odsunut z Československa do Polska, poté do NDR a nakonec utekl do západního Německa.  "",Oblast kultura,Magistrát města Ostravy,104000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Ozvučovací agentura SERENDIPITY s.r.o.,Mezinárodní multižánrový festival národnostních menšin 27 zemí EU Ostrava 2022,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Spolek Fotografická galerie Fiducia,Analogová fotografie - další kapitola.,Oblast kultura,Magistrát města Ostravy,130000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Kulturní spolek Jeden svět Ostrava,Jeden svět 2022 v Ostravě,Oblast kultura,Magistrát města Ostravy,130000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""PANT, z.s."",Tváře Evropy,Oblast kultura,Magistrát města Ostravy,130000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Nerudný fest.cz, Mladí ladí dětem – Timbalooloo do škol,Oblast kultura,Magistrát města Ostravy,65000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,  Marcela Kysová  ,Hudební současnost 2022,Oblast kultura,Magistrát města Ostravy,65000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""THeatr ludem, z. s."",Ostravská lokálka - krajská přehlídka dětského divadla v MS kraji,Oblast kultura,Magistrát města Ostravy,41000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Pestré vrstvy, z. s."",Festival Pestré vrstvy 2022,Oblast kultura,Magistrát města Ostravy,26000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Spolek pro kulturní deník Ostravan.cz,Rádio Ostravan - hudba Ostravy a Moravskoslezského kraje,Oblast kultura,Magistrát města Ostravy,104000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Protimluv, z.s."",""ProtimluvFest 2022, revue Protimluv, autoři Protimluvu na Světu knihy v Praze a Protimluvná dvacítka"",Oblast kultura,Magistrát města Ostravy,390000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""AKORD & POKLAD, s.r.o."",InspiroHub,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""L&L music, z.s."",Mezinárodní festival slovanské hudby,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Provoz z.s.,Literární platforma Harakiri 2022,Oblast kultura,Magistrát města Ostravy,104000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,VS-NETCOM s.r.o.,""Fotbalové stadiony - Historie, fakta a příběhy evropských stadionů 3"",Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""VK Tzunami Ostrava, z.s."",Sportovní činnost oddílu vodního slalomu 2022,Oblast tělovýchovy a sportu,Magistrát města Ostravy,75000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022";;;;
2022,Robert Černý,32. Setkání kytaristů,Oblast kultura,Magistrát města Ostravy,104000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Ostravské centrum nové hudby, z.s."",Ostravská banda v Ostravě a Praze – koncerty světových premiér (věnováno Petru Kotíkovi k jeho 80. narozeninám),Oblast kultura,Magistrát města Ostravy,65000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,ProJantar s.r.o.,Ceny Jantar za rok 2021,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,New Wind Production s.r.o.,Štěrkovna Open Music 2022,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""PANT, z.s."",Freedom Fest Ostrava 2022,Oblast kultura,Magistrát města Ostravy,156000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Provoz z.s.,Festival Luft 2022,Oblast kultura,Magistrát města Ostravy,104000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Dance studio Ostrava z.s.,Sportovní tanec hýbe Ostravou!!!,Oblast tělovýchovy a sportu,Magistrát města Ostravy,150000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022;;;;
2022,Provoz z.s.,Kulturní centrum Provoz v roce 2022,Oblast kultura,Magistrát města Ostravy,410000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Canticum Ostrava, z.s."",MEZINÁRODNÍ SOUTĚŽ PĚVECKÝCH SBORŮ CALAMATA ŘECKO,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Svatováclavský hudební festival, z. s."",Hudební výlety 2022 - vybraných 10 koncertů,Oblast kultura,Magistrát města Ostravy,195000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""PERSEUS, z.s."",10. Mezinárodní filmový festival T-film 2022,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Janáčkův máj, o.p.s."",Generace – mezinárodní soutěž skladatelů do 30 let ,Oblast kultura,Magistrát města Ostravy,30000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,z. s. Galerie Michal,""Mezinárodní festival akčního umění """"Malamut performance meeting Ostrava 2022"""""",Oblast kultura,Magistrát města Ostravy,130000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Římskokatolická farnost Ostrava-Moravská Ostrava,ŽIVÁ KATEDRÁLA 2022,Oblast kultura,Magistrát města Ostravy,39000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Gymnázium, Ostrava-Zábřeh, Volgogradská 6a, příspěvková organizace"",13. postupová přehlídka Celostátní přehlídky středoškolských pěveckých sborů Mezzochori 2022,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Ostravská univerzita,Studentská soutěž BookVision,Oblast kultura,Magistrát města Ostravy,39000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""PANT, z.s."",""Centrum PANT, programová náplň 2022"",Oblast kultura,Magistrát města Ostravy,910000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Statutární město Ostrava, městský obvod Michálkovice"",Michálkovické léto,Oblast kultura,Magistrát města Ostravy,65000,Mimořádný transfer";;;;
"2022,""Základní umělecká škola Eduarda Marhuly, Ostrava - Mariánské Hory, Hudební 6, příspěvková organizace"",115 let ZUŠ E. Marhuly - Minifestival k 115. výročí založení ZUŠ E. Marhuly,Oblast kultura,Magistrát města Ostravy,39000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Detour Productions, z.s."",SLAM POETRY Ostrava 2022,Oblast kultura,Magistrát města Ostravy,104000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Lidová konzervatoř a Múzická škola, příspěvková organizace"",7. ročník regionálního festivalu v amatérském sólovém zpěvu O CENU LEOŠE JANÁČKA 2022,Oblast kultura,Magistrát města Ostravy,52000,Mimořádný příspěvek";;;;
2022,Ostravská univerzita,CD Gradus ad Parnassum – česká hudba pro čtyřruční klavír,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Ostravský spolek náplavkářů,Kulturní program Pěší zóny Malá Kodaň,Oblast kultura,Magistrát města Ostravy,145000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Železniční muzeum moravskoslezské, o.p.s."",CELOROČNÍ PROVOZ ŽELEZNIČNÍHO MUZEA,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Ostravská univerzita,Hledání ztraceného času?,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Ostravská univerzita,FIGURAMA22,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Ostravská univerzita,Výstava - 50 let ostravské animované tvorby,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Ostravská univerzita,Mezinárodní letní akademie komorní hudby Ostrava 2022,Oblast kultura,Magistrát města Ostravy,26000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Ostravská univerzita,Mezinárodní serigrafické sympozium Ostrava 2022 – ISSO 2022,Oblast kultura,Magistrát města Ostravy,65000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Statutární město Ostrava, městský obvod Michálkovice"",MichalFest 2022,Oblast kultura,Magistrát města Ostravy,195000,Mimořádný transfer";;;;
"2022,""AKORD & POKLAD, s.r.o."",Amfifest 2022,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""Statutární město Ostrava, Městský obvod Plesná"",Májová Plesná 2022,Oblast kultura,Magistrát města Ostravy,104000,Mimořádný transfer";;;;
2022,FBC OSTRAVA z.s.,OSTRAVA CUP 2022,Oblast sportovních akcí,Magistrát města Ostravy,300000,Program na podporu významných sportovních akcí na území SMO v roce 2022;;;;
"2022,""Colour Production, spol. s r.o."",Czech Music Crossroads,Oblast kultura,Magistrát města Ostravy,695000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Dimitra Prusali,Kulturní centrum Zámek Poruba,Oblast kultura,Magistrát města Ostravy,195000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Moravskoslezská vědecká knihovna v Ostravě, příspěvková organizace"",O literatuře převážně nevážně,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""PANT, z.s."",Polské dny v Ostravě 2022,Oblast kultura,Magistrát města Ostravy,195000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Rádio Čas s.r.o.,Megakoncert Radia Čas pro všechny bezva lidi 2022,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Spolek Mlejn,Aktivity Spolku Mlejn v  roce 2022,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Pecha Kucha Ostrava, z.s."",PechaKucha Night Ostrava,Oblast kultura,Magistrát města Ostravy,130000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Aerobik klub Ostrava z. s.,Aerobic Cup Ostrava 2022,Oblast sportovních akcí,Magistrát města Ostravy,0,Program na podporu významných sportovních akcí na území SMO v roce 2022;;;;
2022,Aerobik klub Ostrava z. s.,Podpora celoroční činnosti Aerobik klubu Ostrava z.s.,Oblast tělovýchovy a sportu,Magistrát města Ostravy,320000,Program na podporu tělovýchovy a sportu z rozpočtu SMO na rok 2022;;;;
"2021,""DAISY mažoretky, z.s."",""Mistrovství České republiky v mažoretkovém sportu, Ostrava 2021"",Oblast sportu,Magistrát města Ostravy,50000,Mimořádná dotace";;;;
2022,Mgr. Veronika Hurtová Ph.D.,Putovní koncerty TTRec. ,Oblast kultura,Magistrát města Ostravy,0,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
"2022,""Společnost senior, z.s."",XXIV. ročník časopisu SeniorTip,Oblast kultura,Magistrát města Ostravy,78000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,""FMG Artists, s.r.o."",21. ročník mezinárodních interpretačních kurzů v Ostravě v oboru hra na klarinet a saxofon,Oblast kultura,Magistrát města Ostravy,65000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
"2022,Ostravská Nota z.s.,""V Ostravě čteme romsky, Ostravate genas romanes"",Oblast kultura,Magistrát města Ostravy,52000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022";;;;
2022,Lesní hlasy z.s.,Rádio Les,Oblast kultura,Magistrát města Ostravy,104000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
2022,Lesní hlasy z.s.,FestLes,Oblast kultura,Magistrát města Ostravy,130000,Výběrové řízení na poskytnutí dotací v oblasti kultury pro rok 2022;;;;
