Rok(y) podpory,Název žadatele,Název projektu,Oblast podpory,Poskytovatel dotace,Přidělená částka [Kč],Název výzvy;;;;
"2024,""Gymnázium Hladnov a Jazyková škola s právem státní jazykové zkoušky, Ostrava, příspěvková organizace"",Podpora cizojazyčné a bilingvní výuky,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,242000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Základní škola a Mateřská škola Ostrava - Proskovice, Staroveská 62, příspěvková organizace"",Podpora výuky anglického jazyka metodou CLIL v ZŠ a MŠ Ostrava-Proskovice II,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,183000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Renarkon, o. p. s."",Obnova a zabezpečení technického vybavení služeb,Oblast sociální péče,Magistrát města Ostravy,496000,Mimořádná dotace";;;;
"2024,""Gymnázium, základní škola a mateřská škola Hello s.r.o."",""Bilingvní výuka na Gymnáziu, základní škole a mateřské škole Hello, s.r.o."",Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,342000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,MRŇOUSKOVA MATEŘSKÁ ŠKOLA,Rozvoj jazykových kompetencí dětí z Mrňouskovy mateřské školy metodou CLIL II,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,143000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025;;;;
2024,ČMELÁČEK z. s.,Snoezelen - terpie pro handicapované,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace;;;;
2024,Slezská diakonie,EXIT Terapeutická komunita Slezské diakonie pro nezletilé a mladé dospělé,Oblast sociální péče,Magistrát města Ostravy,73000,Mimořádná dotace;;;;
"2024,""Základní škola Slezská Ostrava, Pěší 1, příspěvková organizace"",Podpora rozvoje cizojazyčné výuky na ZŠ Pěší,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,199000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Svépomocná společnost Mlýnek, z.s."",Dovybavení společenských prostor klubu Mlýnek,Oblast sociální péče,Magistrát města Ostravy,0,Mimořádná dotace";;;;
"2024,""Základní škola a mateřská škola Ostrava, Ostrčilova 10, příspěvková organizace"",Podpora rozvoje bilingvní výuky na ZŠ a MŠ Ostrčilova,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,291000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,Ledax Ostrava o.p.s.,Obnova vybavení pro klienty CSS Domus ,Oblast sociální péče,Magistrát města Ostravy,97000,Mimořádná dotace;;;;
"2024,""Jazykové gymnázium Pavla Tigrida, Ostrava-Poruba, příspěvková organizace"",Podpora rozvoje bilingvní a cizojazyčné výuky 2024-2025,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,267000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Mateřská škola, Ostrava-Poruba, Ukrajinská 1530-1531, příspěvková organizace"",Angličtina na Ukrajinské II,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,104000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,Na Výminku s.r.o.,Na Výminku,Oblast sociální péče,Magistrát města Ostravy,112000,Mimořádná dotace;;;;
"2024,""Základní škola, Ostrava-Poruba, J. Šoupala 1609, příspěvková organizace"",Krotitelé jazyků na Šoupalce,Oblast bilingvní a cizojazyčné výuky - výzva,Magistrát města Ostravy,189000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
2024,The Ostrava International School s.r.o.,Zvýšení kvality výuky v zahraniční škole,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,304000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025;;;;
"2024,""Střední škola, základní škola a mateřská škola Monty School"",Grow Up With English,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,267000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025";;;;
"2024,""Centrum sociálních služeb Ostrava, o.p.s."",Zaměřeno na osoby bez přístřeší,Oblast sociální péče,Magistrát města Ostravy,480000,Mimořádná dotace";;;;
2024,Slezská diakonie,Automobil pro pečovatelskou službu ELIM Ostrava,Oblast sociální péče,Magistrát města Ostravy,74000,Mimořádná dotace;;;;
"2024,Slezská diakonie,""Výměna podlah + obnova koupelny pro středisko ARCHA - Ostrava, Chráněné bydlení"",Oblast sociální péče,Magistrát města Ostravy,74000,Mimořádná dotace";;;;
"2024,""Sdružení - BES, z.s."",Kuchyně pro děti s handicapem,Oblast sociální péče,Magistrát města Ostravy,126000,Mimořádná dotace";;;;
2024,ABC o.p.s.,Nákup vybavení pro Centrum ABC,Oblast sociální péče,Magistrát města Ostravy,78000,Mimořádná dotace;;;;
2024,Diakonie ČCE - středisko v Ostravě,Do škol bezpečně a spolehlivě,Oblast sociální péče,Magistrát města Ostravy,400000,Mimořádná dotace;;;;
2024,Univerzitní mateřská škola VŠB-TUO,Podpora výuky angličtiny v Univerzitní mateřské škole VŠB-TUO,Oblast bilingvní a cizojazyčné výuky - program,Magistrát města Ostravy,167000,Program na podporu cizojazyčné výuky na území statutárního města Ostravy pro školní rok 2024/2025;;;;
