id,name,proposer,status,category,district,year,budget,image,detail,longitude,latitude,ObjectId,x,y
2435,Lanové hřiště Brno-Bystrc,Tomáš Hejl,nevítězný,Děti,Brno-Bystrc,2024,5000000,https://paro.damenavas.cz/images/project/2435/2712d704c363dafa5b8a.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2435,16.5115458340922,49.2200446726131,513,1838056.87446094,6312281.18435745
2439,Pojďme spolu vařit!,Tereza Šestáková,nevítězný,Zábava,Brno,2024,1450000,https://paro.damenavas.cz/images/project/2439/0e4993b4bf108da05359.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2439,16.6083100432967,49.1949744319926,514,1848828.61695659,6308009.46360876
2441,Dětské hřiště vedle skateparku Mendlák,Věra Kůřilová,nevítězný,Děti,Brno-střed,2024,4800000,https://paro.damenavas.cz/images/project/2441/eed7fdfe99e3bcb477dd.jpg?v=2025-09-16+15%3A11%3A03,https://paro.damenavas.cz/project/2441,16.5938993308774,49.1932582117624,515,1847224.42378812,6307717.11586797
2447,Nejen dětské hřiště pro Útěchov,Hana Krivdová,nevítězný,Děti,Brno-Útěchov,2024,4800000,https://paro.damenavas.cz/images/project/2447/6e3161a8edd07216f04f.jpg?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2447,16.631213150997,49.2911986756716,516,1851378.17924339,6324416.9377113
2448,Památník Dobroslavy,"Ing. arch. Jiří Šťasta, Ph.D.",nevítězný,Kultura,Brno-Černovice,2024,2250000,https://paro.damenavas.cz/images/project/2448/a2066aaeec1169921c17.png?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2448,16.6368031160867,49.184472303363,517,1852000.45131072,6306220.64833143
2451,Projekt Příjemné jízdy,Alena Drdlová,nevítězný,Zdraví,Brno,2024,3800000,https://paro.damenavas.cz/images/project/2451/b8edb052664bd1d4ac5b.jpeg?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2451,16.6083100432967,49.1949744319926,518,1848828.61695659,6308009.46360876
2452,Bezbariérový klub seniorů Brno-sever,Filip Pšenčík,nevítězný,Senioři,Brno-sever,2024,4600000,https://paro.damenavas.cz/images/project/2452/7f022de2a58128ad7e9c.jpg?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2452,16.610582142736,49.2087027272808,519,1849081.54590922,6310348.3608841
2453,Relaxační zóna Kamechy Bystrc,Zdeňka Ďulíková,nevítězný,Zeleň,Brno-Bystrc,2024,2900000,https://paro.damenavas.cz/images/year-category-icons/29/725fcd03bc7a480ddf54.svg,https://paro.damenavas.cz/project/2453,16.5054971940302,49.2174808134293,520,1837383.54292925,6311844.2286947
2457,Záchrana tisíců stromů před suchem,Michaela Polanská,nevítězný,Zeleň,Brno,2024,5000000,https://paro.damenavas.cz/images/project/2457/f27b2bc0bd688b54ee23.jpg?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2457,16.6083100432967,49.1949744319926,521,1848828.61695659,6308009.46360876
2458,Lesní hřiště cílem turistických tras,Monika Píšková,nevítězný,Děti,Brno-sever,2024,5000000,https://paro.damenavas.cz/images/project/2458/fc6ee6c12116a0046ada.jpg?v=2025-09-16+15%3A11%3A04,https://paro.damenavas.cz/project/2458,16.6271827908224,49.2548443942686,522,1850929.52160103,6318214.30545531
